Universitas,Program Studi,Jenjang,Email,Status,Email_Lama
Universitas Gadjah Mada,Arsitektur,S1,archiplan@ugm.ac.id,,
Universitas Halu Oleo,Arsitektur,S1,KOSONG,,
Universitas Bosowa,Arsitektur,S1,info@universitasbosowa.ac.id,,
Universitas Mataram,Arsitektur,S1,KOSONG,,
Universitas Brawijaya,Arsitektur Lingkungan Binaan,S2,KOSONG,,
Universitas Bung Karno,Arsitektur,S1,KOSONG,,
Institut Teknologi Nasional Bandung,Arsitektur,S1,humas@itenas.ac.id,,
Universitas Muhammadiyah Makassar,Arsitektur,S1,KOSONG,,
Universitas Pembangunan Nasional Veteran Jawa Timur,Arsitektur,S1,arsitektur.upn.jatim@gmail.com,,
Universitas PGRI Yogyakarta,Arsitektur,S1,KOSONG,,
Universitas Pohuwato,Arsitektur,S1,-,,
Universitas Indonesia,Arsitektur Interior,S1,arsitektur@eng.ui.ac.id,,
Institut Teknologi Sepuluh Nopember,Arsitektur,S2,arsitektur@its.ac.id,,
Universitas Diponegoro,Arsitektur,S2,mtaundip94@yahoo.com,,
Universitas Sains Dan Teknologi Jayapura,Arsitektur,S1,arsitektur.ustj@yahoo.com,,
Sekolah Tinggi Teknologi Cirebon,Arsitektur,S1,info@sttcirebon.ac.id,,
Universitas Diponegoro,Arsitektur,S1,arsitektur@ftundipacid,,
Institut Teknologi Budi Utomo,Arsitektur,S1,-,,
Universitas Bumi Hijrah Tidore,Arsitektur,S1,-,,
Universitas Adiwangsa Jambi,Arsitektur,S1,arsitektur@unaja.ac.id,,
Universitas Kebangsaan Republik Indonesia,Arsitektur,S1,ftsp@ukri.ac.id,,
Universitas Katolik Soegijapranata,Arsitektur,S3,psda@unika.ac.id,,
Institut Teknologi Dan Bisnis Ahmad Dahlan,Arsitektur,S1,-,,
Universitas Pembangunan Jaya,Arsitektur,S1,info@upj.ac.id / prodi@arsitektur.upj.ac.id,,
Universitas Riau,Arsitektur,S1,arsitektur@unri.ac.id,,
Universitas Pendidikan Mandalika,Arsitektur,D-III,KOSONG,,
Universitas Dwijendra,Arsitektur,S1,arsitekturdwijendra@gmail.com,,
Universitas Ciputra Surabaya,Arsitektur,S1,info@ciputra.ac.id,,
Universitas Tanjungpura,Arsitektur,S1,architecture@untan.ac.id,,
Universitas Mulawarman,Arsitektur,S1,KOSONG,,
Institut Teknologi Bandung,Arsitektur,S3,sekres2@ar.itb.ac.id,,
Sekolah Tinggi Teknik Malang,Arsitektur,S1,stt@stt.ac.id,,
Universitas Musamus Merauke,Arsitektur,S1,arsitek@unmus.ac.id,,
Universitas Citra Bangsa,Arsitektur,S1,-,,
Universitas Bandar Lampung,Arsitektur,S1,arsitektur@ubl.ac.id,,
Universitas Tadulako,Arsitektur,S1,KOSONG,,
Universitas Kristen Indonesia,Arsitektur,S2,pps-mih@uki.ac.id,,
Universitas Kristen Petra,Arsitektur,S2,-,,
Politeknik Negeri Samarinda,Arsitektur,D-III,humas@polnes.ac.id,,
Universitas Riau Kepulauan,Arsitektur,S1,ft_unrika@yahoo.com,,
Universitas Balikpapan,Arsitektur,S1,arsitektur@uniba-bpn.ac.id,,
Universitas Tompotika Luwuk Banggai,Arsitektur,S1,KOSONG,,
Universitas Flores,Arsitektur,S1,ars_uniflor@yahoo.co.id,,
Universitas Ichsan Sidenreng Rappang,Arsitektur,S1,-,,
Universitas Islam Negeri Maulana Malik Ibrahim Malang,Teknik Arsitektur,S1,KOSONG,,
Institut Teknologi Bandung,Ilmu Seni Rupa Dan Desain,S3,fsrditb@yahoo.com,,
Universitas Cendekia Mitra Indonesia,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Pertiwi,Desain Komunikasi Visual,S1,-,,
Politeknik Negeri Malang,Optimasi Desain Mekanik,S3 Terapan,KOSONG,,
Universitas Internasional Jakarta,Desain Komunikasi Visual,S1,KOSONG,,
Institut Seni Indonesia Yogyakarta,Desain Mode Kriya Batik,D-IV,KOSONG,,
Universitas Sains Indonesia,Desain Grafis,S1,-,,
Universitas Muhammadiyah Tegal,Desain Produk,D-III,KOSONG,,
Institut Seni Indonesia Denpasar,Desain,S3,-,,
Institut Modern Arsitektur Dan Teknologi,Desain Komunikasi Visual,S1,-,,
Universitas Ciputra Surabaya,Desain Komunikasi Visual,S1,info@ciputra.ac.id,,
Universitas Kristen Petra,Desain Komunikasi Visual,S1,kj-dkv@petra.ac.id,,
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Semarang),S1,nudin@binus.edu,,
Universitas Telkom,Desain Komunikasi Visual,S1,info@telkomuniversity.ac.id,,
Universitas Katolik Soegijapranata,Desain Komunikasi Visual,S1,unika@unika.ac.id,,
Universitas Telkom,Desain Produk,S1,info@talkomuniversity.ac.id,,
Universitas Informatika Dan Bisnis Indonesia,Desain Komunikasi Visual,S1,e_unibi@unibi.ac.id,,
Universitas Kristen Petra,Desain Interior,S1,kj-intrr@petra.ac.id,,
Universitas Komputer Indonesia,Desain,S2,infopasca-mds@unikom.ac.id,,
Universitas Surabaya,Desain Produk,S1,fik@ubaya.ac.,,
Politeknik Kreatif Indonesia,Desain Mode,D-IV,info@cpi.ac.id,,
Universitas Negeri Padang,Pendidikan Vokasional Desain Fashion,S1,KOSONG,,
Universitas Widyatama,Desain Grafis,D-IV,fdkv@widyatama.ac.id,,
Universitas Wiraraja,Desain Komunikasi Visual,S1,KOSONG,,
Universitas PGRI Silampari,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Pembangunan Nasional Veteran Jawa Timur,Desain Interior,S1,KOSONG,,
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Medan),S1,citra.fadillah@binus.edu,,
Institut Seni Indonesia Denpasar,Desain,S2,-,,
Universitas Pelita Harapan,Desain Interior,S1,info.medan@uph.edu,,
Akademi Kesejahteraan Sosial AKK,Desain Busana,D-III,KOSONG,,
Universitas Dinamika,Desain Komunikasi Visual,S1,official@dinamika.ac.id,,
Universitas Ichsan Gorontalo,Desain Komunikasi Visual,S1,KOSONG,,
Institut Teknologi Bandung,Desain Interior,S1,fsrditb@yahoo.com,,
Politeknik TEDC,Mekanik Industri Dan Desain,D-IV,poltek_tedc@yahoo.com,,
Institut Bisnis Dan Teknologi Indonesia,Desain Komunikasi Visual,S1,humas@instiki.ac.id,,
Universitas Bhinneka Nusantara,Desain Komunikasi Visual,S1,-,,
Universitas Sahid Surakarta,Desain Interior,S1,desain.interior@usahidsolo.ac.id,,
Politeknik Seni Yogyakarta,Desain Komunikasi Visual,D-III,poliseniyogyakarta@gmail.com,,
Universitas Negeri Jakarta,Desain Mode,D-IV,Str_desainmode@unj.ac.id,,
Universitas Teknologi Digital,Desain Komunikasi Visual,S1,-,,
Universitas Trilogi,Desain Komunikasi Visual,S1,info@universitas-trilogi.ac.id,,
Institut Seni Budaya Indonesia Aceh,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Sebelas Maret,Desain Mode,S1,KOSONG,,
Politeknik Tempo,Desain Media,D-IV,admindm@politekniktempo.ac.id,,
Institut Informatika Indonesia Surabaya,Desain Produk,S1,desain@ikado.ac.id,,
Institut Teknologi Sains Bandung,Desain Produk,S1,office@itsb.ac-id.net,,
Institut Seni Budaya Indonesia Bandung,Desain Interior,S1,KOSONG,,
Institut Komunikasi Dan Bisnis LSPR,Desain Media,D4,-,,
Universitas Kristen Petra,Desain,S2,-,,
Universitas Mulia,Desain Komunikasi Visual,S1,-,,
Institut Seni Indonesia Surakarta,Desain Produk Industri,S1,KOSONG,,
Universitas Fort De Kock,Desain Komunikasi Visual,S1,-,,
Institut Teknologi Adhi Tama Surabaya,Desain Produk,S1,despro.dept@itats.ac.id,,
Institut Informatika Dan Bisnis Darmajaya,Desain Komunikasi Visual,S1,dkv@darmajaya.ac.id,,
Universitas Bina Insani,Desain Komunikasi Visual,S1,info@binainsani.ac.id,,
Universitas Sebelas Maret,Desain Media Digital,D4,KOSONG,,
Universitas Tiga Serangkai,Desain Produk Tekstil,D-III,KOSONG,,
Universitas Tiga Serangkai,Desain Komunikasi Visual,D-III,KOSONG,,
Institut Seni Indonesia Surakarta,Desain Komunikasi Visual,S1,direct@isi-ska.ac.id,,
Institut Teknologi Sepuluh Nopember,Desain Interior,S1,Interior@its.ac.id,,
Universitas Muhammadiyah Surabaya,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Pradita,Desain Interior,S1,info@pradita.ac.id,,
Universitas Telkom,Desain Komunikasi Visual (Kampus Jakarta),S1,KOSONG,,
Universitas Ibn Khaldun Bogor,Pendidikan Vokasional Desain Fashion,S1,KOSONG,,
Universitas Pelita Harapan,Desain Produk,S1,sod.product@uph.edu,,
Sekolah Tinggi Teknologi Muhammadiyah AR Fachruddin,Desain Komunikasi Visual,S1,KOOSNG,,
Universitas Persada Indonesia Yai,Desain Komunikasi Visual,S1,dkvupiyai@gmail.com,,
Institut Teknologi Dan Bisnis Tuban,Desain Komunikasi Visual,S1,-,,
Institut Seni Budaya Indonesia Aceh,Desain Interior,S1,-,,
Universitas Kristen Duta Wacana,Desain Produk,S1,fad@staff.ukdw.ac.id,,
Universitas Kristen Maranatha,Desain Komunikasi Visual,S1,viscom.creahum@maranatha.edu,,
Universitas Ciputra Surabaya,Desain Mode,S1,KOSONG,,
Institut Seni Indonesia Denpasar,Desain Produk,S1,KOSONG,,
Universitas Negeri Yogyakarta,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Dian Nuswantoro,Desain Komunikasi Visual,S1,sekretariat@dinus.ac.id,,
Universitas Sampoerna,Desain Komunikasi Visual,S1,maria.wahyuni@sampoernafoundation.org,,
Universitas Pelita Harapan,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Multimedia Nusantara Jakarta,Desain,S2,-,,
Universitas Esa Unggul,Desain Produk,S1,-,,
Universitas Multi Data Palembang,Desain Komunikasi Visual,S1,kuliah@mdp.ac.id,,
Universitas Muhammadiyah Kendari,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Negeri Malang,Desain Komunikasi Visual,S1,info@sastra.um.ac.id,,
Universitas Adzkia,Desain Komunikasi Visual,S1,-,,
Universitas Islam Negeri Syekh AIi Hasan Ahmad Addary Padangsidimpuan,Desain Komunikasi Visual,S1,dkv@uinsyahada.ac.id,,
Universitas Prima Indonesia,Desain Komunikasi Visual,S1,KOSONG,,
Institut Seni Indonesia Yogyakarta,Desain Produk,S1,arts@isi.ac.id,,
Universitas Satu,Desain Komunikasi Visual,S1,-,,
Politeknik Bali Maha Werdhi,Desain Komunikasi Visual,D-III,info@politeknikbmw.ac.id,,
Universitas Al Hikmah Jepara,Desain Komunikasi Visual,S1,-,,
Universitas Awal Bros,Desain Komunikasi Visual,S1,-,,
Universitas Primakara,Desain Komunikasi Visual,S1,-,,
Universitas Pendidikan Indonesia,Desain Produk Industri Kampus Tasikmalaya,S1,desainprodukindustri@upi.edu,,
Institut Desain Dan Bisnis Bali,Desain,S2,-,,
Politeknik Negeri Jakarta,Desain Grafis,D-IV,grafika@pnj.ac.id,,
Universitas Trilogi,Desain Produk,S1,info@universitas-trilogi.ac.id,,
Institut Teknologi Dan Bisnis Kristen Bukit Pengharapan,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Agung Podomoro,Desain Produk,S1,rektorat@podomorouniversity.ac.id,,
Universitas Mercu Buana,Desain Komunikasi Visual,S1,umb@mercubuana.ac.id,,
Akademi Kesejahteraan Sosial Ibu Kartini,Desain Mode,D-IV,aksibukartini_smg@yahoo.com,,
Institut Informatika Dan Bisnis Darmajaya,Desain Interior,S1,designinterior@darmajaya.ac.id,,
Institut Teknologi Dan Bisnis Palcomtech,Desain Komunikasi Visual,D-III,KOSONG,,
Institut Teknologi Telkom Purwokerto,Desain Produk,S1,KOSONG,,
Universitas Indraprasta PGRI,Desain Komunikasi Visual,S1,kampus@unindra.ac.id,,
Institut Seni Indonesia Denpasar,Desain Mode,D-IV,rektor@isi-dps.ac.id,,
Institut Sains Dan Teknologi Terpadu Surabaya,Desain Komunikasi Visual,S1,dkv@istts.ac.id,,
Universitas Pembangunan Nasional Veteran Jawa Timur,Desain Komunikasi Visual,S1,KOSONG,,
Institut Teknologi Dan Bisnis Kalbis,Desain Komunikasi Visual,S1,,,
Universitas Maarif Hasyim Latif,Desain Komunikasi Visual,S1,dkv@umaha.ac.id,,
Universitas Presiden,Desain Komunikasi Visual,S1,vcd@president.ac.id,,
Universitas Esa Unggul,Desain Interior,S1,-,,
Universitas Syekh Yusuf Al Makassari Gowa,Desain Komunikasi Visual,S1,-,,
Universitas Metamedia,Desain Komunikasi Visual,S1,-,,
Universitas Ngudi Waluyo,Pendidikan Vokasional Desain Fashion,S1,desainfashion@unw.ac.id,,
Institut Desain Dan Bisnis Bali,Desain Interior,S1,info@idbbali.ac.id,,
Universitas Negeri Makassar,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,Desain Komunikasi Visual,S1,-,,
Universitas Lancang Kuning,Desain Interior,S1,KOSONG,,
Universitas Pendidikan Ganesha,Desain Komunikasi Visual,D-III,dkv@undiksha.ac.id,,
Universitas Swadaya Gunung Djati,Desain Komunikasi Visual,S1,KOSONG,,
Sekolah Tinggi Desain Indonesia Bandung,Desain Komunikasi Visual,S1,stdi.bandung@stdi.ac.id,,
Institut Teknologi Nasional Bandung,Desain Interior,S1,humas@itenas.ac.id,,
Universitas Telkom,Desain Komunikasi Visual (Kampus Kabupaten Banyumas),S1,KOSONG,,
Universitas Telkom,Desain Produk (Kampus Kabupaten Banyumas),S1,KOSONG,,
Institut Kesenian Jakarta,Desain Komunikasi Visual,S1,deskov@ikj.ac.id,,
Institut Teknologi Sepuluh Nopember,Desain Interior,S2,KOSONG,,
Institut Teknologi Kalimantan,Desain Komunikasi Visual,S1,dkv@itk.ac.id,,
Universitas Matana,Desain Komunikasi Visual,S1,-,,
Universitas Wanita Internasional,Desain Komunikasi Visual,S1,dkv@iwu.ac.id,,
Universitas Wanita Internasional,Desain Interior,S1,di@iwu.ac.id,,
Universitas Surabaya,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Ciputra Surabaya,Desain Komunikasi Visual (Kampus Kota Makassar),S1,KOSONG,,
Universitas Bumigora,Desain Komunikasi Visual,S1,dkv@universitasbumigora.ac.id,,
Universitas Indonesia Mandiri,Desain Komunikasi Visual,S1,info@uimandiri.ac.id,,
Institut Kesenian Jakarta,Desain Interior,S1,desaininterior@ikj.ac.id,,
Universitas LIA,Desain Komunikasi Visual,S1,info@universitaslia.ac.id,,
Universitas Negeri Malang,Desain Mode,D-IV,KOSONG,,
Universitas Putra Indonesia Yptk Padang,Desain Komunikasi Visual,S1,admin@upiyptk.ac.id,,
Politeknik Negeri Samarinda,Desain Produk Kayu Dan Serat,D-IV,KOSONG,,
Universitas Komputer Indonesia,Desain Grafis,D-III,dg@email.unikom.ac.id,,
Institut Desain Dan Bisnis Bali,Desain Komunikasi Visual,S1,info@idbbali.ac.id,,
Universitas Teknologi Bandung,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Catur Insan Cendekia,Desain Komunikasi Visual,S1,-,,
Universitas Gunadarma,Desain Interior,S1,KOSONG,,
Universitas Pasundan,Desain Komunikasi Visual,S1,dkv-unpas@yahoo.com,,
Institut Teknologi Dan Bisnis Asia Malang,Desain Komunikasi Visual,S1,dkv@asia.ac.id,,
Universitas Brawijaya,Desain Grafis,D-IV,psdesain@ub.ac.id,,
STMIK Amik Bandung,Desain Komunikasi Visual,S1,-,,
Institut Teknologi Bandung,Desain,S2,fsrditb@yahoo.com,,
Universitas Bina Nusantara,Desain,S2,ferric.limano@binus.edu,,
Institut Seni Indonesia Padang Panjang,Desain Komunikasi Visual,S1,isi@isi-padangpanjang.ac.id,,
Universitas Nahdlatul Ulama Pasuruan,Desain Komunikasi Visual,S1,-,,
Institut Teknologi Bandung,Desain Komunikasi Visual,S1,fsrditb@yahoo.com,,
Universitas Kristen Maranatha,Desain Interior,S1,admission@maranatha.edu,,
Institut Filsafat Dan Teknologi Kreatif Ledalero,Desain Komunikasi Visual,S1,dkvprodifitk@gmail.com,,
Sekolah Tinggi Desain LaSalle,Fashion Desain,D-IV,infojkt@lasallecollege.ac.id,,
Universitas Sebelas Maret,Desain Komunikasi Visual,D-III,KOSONG,,
Universitas Potensi Utama,Desain Interior,S1,info@potensi-utama.ac.id,,
Universitas Bina Nusantara,Desain Produk,S1,rparamita@binus.edu,,
Universitas Ma Chung,Desain Komunikasi Visual -,S1,-,,
Universitas Potensi Utama,Desain Komunikasi Visual,S1,info@potensi-utama.ac.id,,
Universitas Sains Dan Teknologi Komputer,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Internasional Semen Indonesia,Desain Komunikasi Visual,S1,-,,
Institut Seni Indonesia Denpasar,Desain Interior,S1,desain@isi-dps.ac.id,,
Institut Seni Indonesia Denpasar,Desain Komunikasi Visual,S1,dkv@isi-dps.ac.id,,
Universitas Bunda Mulia,Desain Komunikasi Visual,S1,info@ubm.ac.id,,
Institut Informatika Indonesia Surabaya,Desain Komunikasi Visual,S1,desain@ikado.ac.id,,
Universitas Pembangunan Jaya,Desain Produk,S1,info@upj.ac.id /dpi@upj.ac.id,,
Universitas Nusa Nipa,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Kalbis,Desain Komunikasi Visual,S1,-,,
Universitas PGRI Jombang,Desain Komunikasi Visual,S1,dkv@upjb.ac.id,,
Institut Seni Indonesia Padang Panjang,Desain Produk,S1,-,,
Sekolah Tinggi Desain Indonesia Bandung,Desain Interior,S1,stdi.bandung@stdi.ac.id,,
Universitas Hayam Wuruk Perbanas,Desain Komunikasi Visual,S1,sarjanadkv@hayamwuruk.ac.id,,
Institut Kesenian Jakarta,Desain Produk,S1,desainproduk@ikj.ac.id,,
Institut Seni Budaya Indonesia Bandung,Desain Komunikasi Visual,S1,-,,
Universitas Muhammadiyah Purwokerto,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Nusa Putra,Desain Komunikasi Visual,S1,-,,
Universitas Nahdlatul Ulama Sidoarjo,Desain Komunikasi Visual,S1,-,,
Universitas Pembangunan Jaya,Desain Komunikasi Visual,S1,info@upj.ac.id,,
Universitas Negeri Surabaya,Desain Komunikasi Visual,S1,s1-dkv@unesa.ac.id,,
Universitas Telkom,Desain Interior,S1,info@telkomuniversity.ac.id,,
Universitas Trisakti,Desain Produk,S2,fsrd@triskti.ac.id,,
Universitas Tarumanagara,Desain Komunikasi Visual,S1,dkv@untar.ac.id,,
Universitas Indo Global Mandiri,Desain Komunikasi Visual,S1,dkv@uigm.ac.id,,
Universitas Mercu Buana,Desain Interior,S1,umb@mercubuana.ac.id,,
Universitas Prasetiya Mulya,Desain Produk,S1,info@prasetiyamulya.ac.id,,
Sekolah Tinggi Desain LaSalle,Desain Interior,S1,-,,
Universitas Dian Nuswantoro,Desain Komunikasi Visual (Kampus Kota Kediri),S1,KOSONG,,
Universitas Aufa Royhan,Pendidikan Vokasional Desain Fashion,S1,KOSONG,,
Universitas Komputer Indonesia,Desain Komunikasi Visual,S1,dkv@email.unikom.ac.id,,
Universitas Selamat Sri,Desain Komunikasi Visual,S1,-,,
Politeknik Bina Madani,Desain Media,D-IV,KOSONG,,
Universitas Telkom,Desain,S2,info@telkomuniversity.ac.id,,
Akademi Seni Rupa Dan Desain MSD,Desain Komunikasi Visual,D-III,contact@msd.ac.id,,
Universitas Bina Nusantara,Desain Interior,S1,a.wulandari@binus.edu,,
Universitas Paramadina,Desain Produk,S1,info@paramadina.ac.id,,
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,Desain Komunikasi Visual,S1,info@stsrdvisi.ac.id,,
Institut Teknologi Nasional Bandung,Desain Komunikasi Visual,S1,humas@itenas.ac.id,,
Universitas Komputer Indonesia,Desain Interior,S1,di.unikom.ac.id,,
Institut Sains Dan Teknologi Al-Kamal,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Mercu Buana,Desain Produk,S1,umb@mercubuana.ac.id,,
Universitas Negeri Semarang,Desain Komunikasi Visual,D-III,d3dkv@mail.unnes.ac.id,,
Institut Seni Budaya Indonesia Tanah Papua,Desain Komunikasi Visual,S1,-,,
Institut Teknologi Sepuluh Nopember,Desain Produk,S1,despro@its.ac.id,,
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,Desain Komunikasi Visual,D-III,info@stsrdvisi.ac.id,,
Universitas Islam Nahdlatul Ulama Jepara,Desain Produk,S1,faksaintek@unisnu.ac.id,,
Institut Seni Indonesia Padang Panjang,Desain Mode,D-IV,isi@isi-padangpanjang.ac.id,,
Universitas Negeri Surabaya,Desain Grafis,D-IV,strdesgraf@unesa.ac.id,,
Universitas Bina Nusantara,Desain Komunikasi Visual,S1,dadi@binus.edu,,
Institut Teknologi Bandung,Desain Produk,S1,fsrditb@yahoo.com,,
Universitas Paramadina,Desain Komunikasi Visual,S1,info@paramadina.ac.id,,
Institut Seni Indonesia Yogyakarta,Desain Interior,S1,arts@isi.ac.id,,
Institut Teknologi Dan Bisnis Stikom Ambon,Desain Komunikasi Visual,S1,-,,
Universitas Tarumanagara,Desain Interior,S1,di@untar.ac.id,,
Institut Komunikasi Dan Bisnis LSPR,Desain Komunikasi Visual,S1,yayasan.pps@lspr.edu,,
Universitas Sebelas Maret,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Muhammadiyah Tangerang,Desain Komunikasi Visual,S1,parinkrafumt@gmail.com,,
Politeknik Harapan Bersama,Desain Komunikasi Visual,D-III,KOSONG,,
Politeknik Negeri Media Kreatif,Desain Mode,D-IV,KOSONG,,
Politeknik Perkapalan Negeri Surabaya,Teknik Desain Dan Manufaktur,D-IV,humas@ppns.ac.id,,
Universitas Trisakti,Desain Produk,S1,fsrd@trisakti.ac.id,,
Sekolah Tinggi Desain Interstudi,Desain Interior,S1,stdi@interstudi.edu,,
Sekolah Tinggi Media Komunikasi Trisakti,Desain Komunikasi Visual,S1,KOSONG,,
Akademi Seni Dan Desain Indonesia Surakarta,Desain Komunikasi Visual,D-III,info@asdi.ac.id,,
Akademi Seni Dan Desain Indonesia Surakarta,Desain Produk Tekstil,D-III,info@asdi.ac.id,,
Universitas Sebelas Maret,Desain Interior,S1,desinter_uns@yahoo.co.id,,
Universitas 'Aisyiyah Bandung,Desain Komunikasi Visual,S1,dkv@unisa-bandung.ac.id,,
Universitas Kristen Satya Wacana,Desain Komunikasi Visual,S1,fti@adm.uksw.edu,,
Politeknik Sains Seni Rekakreasi,Desain Komunikasi Visual,D-III,KOSONG,,
Institut Teknologi Harapan Bangsa,Desain Komunikasi Visual,S1,egi@ithb.ac.id,,
Universitas Pradita,Desain Komunikasi Visual,S1,info@pradita.ac.id,,
Institut Teknologi Dan Sains Nahdlatul Ulama Pasuruan,Desain Komunikasi Visual,S1,dkv@itsnupasuruan.ac.id,,
Universitas Negeri Padang,Desain Komunikasi Visual,S1,KOSONG,,
Institut Manajemen Wiyata Indonesia,Desain Grafis,S1,ps.desaingrafis@imwi.ac.id,,
Politeknik Industri Furnitur Dan Pengolahan Kayu,Desain Furnitur,D-III,KOSONG,,
Institut Teknologi Harapan Bangsa,Desain Produk,S1,-,,
Akademi Kesejahteraan Sosial Ibu Kartini,Desain Busana,D-III,aksibukartini_smg@yahoo.com,,
Institut Teknologi Batam,Desain Komunikasi Visual,S1,info@iteba.ac.id,,
Akademi Teknik PIKA,Desain Interior,D-III,KOSONG,,
Institut Teknologi Dan Bisnis Ahmad Dahlan,Desain Komunikasi Visual,S1,info@itb-ad.ad.id,,
Universitas Adhirajasa Reswara Sanjaya,Desain Komunikasi Visual,S1,dkv@ars.ac.id,,
Universitas Kuningan,Desain Komunikasi Visual,S1,-,,
Universitas Bina Nusantara,Desain Interior (Kampus Kota Bandung),S1,friska.amalia@binus.edu,,
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Bandung),S1,adrianto.t@binus.edu,,
Universitas Bina Nusantara,Desain Interior (Kampus Kota Malang),S1,ira.agustina@binus.edu,,
Universitas Nahdlatul Ulama Kalimantan Timur,Desain Interior,S1,KOSONG,,
Politeknik Negeri Pontianak,Desain Kawasan Binaan,D-IV,jta.polnep@gmail.com,,
Institut Teknologi Sumatera,Desain Komunikasi Visual,S1,-,,
Universitas Sahid Surakarta,Desain Komunikasi Visual,S1,evelynehenny@gmail.com,,
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Malang),S1,vabednego@binus.edu,,
Universitas Teknologi Indonesia,Desain Produk,S1,KOSONG,,
Politeknik Muhammadiyah Tegal,Desain Produk,D-III,KOSONG,,
Politeknik Negeri Media Kreatif,Desain Grafis (Kampus Makassar),D-III,KOSONG,,
Universitas Ciputra Surabaya,Desain Produk,S1,KOSONG,,
Universitas Budi Luhur,Desain Komunikasi Visual,S1,dkv@budiluhur.ac.id,,
Institut Sains Dan Teknologi Terpadu Surabaya,Desain Produk,S1,rektorat@istts.ac.id,,
Institut Desain Dan Bisnis Bali,Desain Mode,D-IV,info@idbbali.ac.id,,
Institut Teknologi Sepuluh Nopember,Desain Komunikasi Visual,S1,dkv@its.ac.id,,
STIKI Malang,Desain Komunikasi Visual,S1,dkv@stiki.ac.id,,
Institut Teknologi Telkom Purwokerto,Desain Komunikasi Visual,S1,-,,
Universitas Pendidikan Indonesia,Desain Komunikasi Visual,S1,dkv_fpsd@upi.edu,,
Universitas Indonesia Mandiri,Desain Komunikasi Visual,S1,info@uimandiri.ac.id,,
Akademi Seni Rupa Dan Desain ISWI Jakarta,Desain Produk,D-III,kampusasride_iswi@ymail.com,,
STKIP Pangeran Antasari,Pendidikan Vokasional Desain Fashion,S1,-,,
Universitas Esa Unggul,Desain Komunikasi Visual,S1,KOSONG,,
Universitas Trisakti,Desain Komunikasi Visual,S1,trisakti@.ac.id,,
Sekolah Tinggi Desain Interstudi,Desain Produk,S1,stdi@interstudi.edu,,
Sekolah Tinggi Desain Interstudi,Desain Komunikasi Visual,S1,stdi@interstudi.edu,,
Universitas Multimedia Nusantara,Desain Komunikasi Visual,S1,dkv@umn.ac.id,,
Institut Seni Indonesia Yogyakarta,Desain Komunikasi Visual,S1,arts@isi.ac.id,,
Politeknik Negeri Media Kreatif,Desain Grafis,D-III,info@polimedia.ac.id,,
Universitas Trisakti,Desain Interior,S1,fsrd@trisakti.ac.id,,
Sekolah Tinggi Teknologi Bandung,Desain Komunikasi Visual,S1,info@sttbandung.ac.id,,
Institut Seni Indonesia Surakarta,Desain Interior,S1,direct@isi-ska.ac.id,,
Universitas Islam Nahdlatul Ulama Jepara,Desain Komunikasi Visual,S1,faksaintek@unisnu.ac.id,,
Universitas Halu Oleo,Perencanaan Dan Pengembangan Wilayah,S2,s2ppw@uho.ac.id,,
Universitas Mataram,Perencanaan Kepariwisataan,S2,KOSONG,,
Politeknik Internasional Bali,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,-,,
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S1,pwk@ub.ac.id,,
Institut Sains Dan Teknologi Muhammadiyah Tarakan,Perencanaan Wilayah Dan Kota,S1,-,,
Universitas Nahdlatul Ulama Maluku Utara,Perencanaan Wilayah Dan Kota,S1,-,,
Universitas Muhammadiyah Jambi,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Muhammadiyah Palopo,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Sintuwu Maroso Poso,Perencanaan Wilayah Dan Perdesaan,S2,KOSONG,,
Institut Teknologi Nasional Yogyakarta,Perencanaan Wilayah Dan Kota,S1,info@itny.ac.id,,
Institut Teknologi Nasional Malang,Perencanaan Wilayah Dan Kota,S1,planologi-s1@itn.ac.id,,
