Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Singkatan Umum/Resmi,Email
Universitas Atma Jaya Yogyakarta,Arsitektur,S1,5,6078/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,UAJY,s1arsitektur@UAJY.ac.id
Universitas Sumatera Utara,Teknik Arsitektur,S2,PTN,4854/SK/BAN-PT/Ak/M/VII/2024,2024,USU,s2teknikarsitektur@USU.ac.id
Politeknik Negeri Samarinda,Arsitektur Bangunan Gedung,D4,PTN,6028/SK/BAN-PT/Ak/STr/IX/2024,2024,POLNES,d4arsitekturbangunangedung@POLNES.ac.id
Universitas Udayana,Arsitektur,S1,PTN,6025/SK/BAN-PT/Ak.Ppj/S/IX/2024,2024,UNUD,s1arsitektur@UNUD.ac.id
Universitas Mercu Buana,Arsitektur,S1,3,4723/SK/BAN-PT/Ak/S/VI/2024,2024,UMB,s1arsitektur@UMB.ac.id
Universitas Katolik Soegijapranata,Arsitektur,S1,6,4762/SK/BAN-PT/Ak.Ppj/S/VI/2024,2024,UNIKA Soegijapranata,s1arsitektur@UNIKASoegijapranata.ac.id
Institut Teknologi Sepuluh Nopember,Ilmu Arsitektur,S3,PTN,4751/SK/BAN-PT/PEPA-Ppj/D/VI/2024,2024,ITS,s3ilmuarsitektur@ITS.ac.id
Universitas Gadjah Mada,Magister Arsitektur,S2,PTN,5912/SK/BAN-PT/Ak.KP/M/IX/2024,2024,UGM,s2magisterarsitektur@UGM.ac.id
Universitas Atma Jaya Yogyakarta,Arsitektur,S3,5,5692/SK/BAN-PT/Ak.P/D/VIII/2024,2024,UAJY,s3arsitektur@UAJY.ac.id
Universitas Budi Luhur,Arsitektur,S1,3,5613/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,UBL,s1arsitektur@UBL.ac.id
Universitas Islam Negeri Ar-Raniry Banda Aceh,Arsitektur,S1,PTAN,5599/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,UIN Ar-Raniry,s1arsitektur@UINAr-Raniry.ac.id
Institut Teknologi Bandung,Arsitektur Lanskap,S2,PTN,5684/SK/BAN-PT/PEPA-Ppj/M/VIII/2024,2024,ITB,s2arsitekturlanskap@ITB.ac.id
Universitas Indonesia,Arsitektur,S3,PTN,5547/SK/BAN-PT/Ak.KP/D/VIII/2024,2024,UI,s3arsitektur@UI.ac.id
Universitas Amikom Yogyakarta,Arsitektur,S1,5,5498/SK/BAN-PT/Ak/S/VIII/2024,2024,AMIKOM,s1arsitektur@AMIKOM.ac.id
Universitas Indraprasta PGRI,Arsitektur,S1,3,5503/SK/BAN-PT/Ak/S/VIII/2024,2024,UNINDRA,s1arsitektur@UNINDRA.ac.id
Universitas Kristen Duta Wacana,Arsitektur,S1,5,5548/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,UKDW,s1arsitektur@UKDW.ac.id
Universitas Pancasila,Arsitektur,S1,3,5452/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,UP,s1arsitektur@UP.ac.id
Institut Teknologi Nasional Malang,Arsitektur,S1,7,5484/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,ITN Malang,s1arsitektur@ITNMalang.ac.id
Universitas Sebelas Maret,Arsitektur,S2,PTN,5349/SK/BAN-PT/Ak/M/VIII/2024,2024,UNS,s2arsitektur@UNS.ac.id
Universitas Pelita Bangsa,Arsitektur,S1,4,5346/SK/BAN-PT/Ak/S/VIII/2024,2024,UPB,s1arsitektur@UPB.ac.id
Universitas Almuslim,Arsitektur,S1,13,5380/SK/BAN-PT/Ak.Ppj/S/VIII/2024,2024,UMA,s1arsitektur@UMA.ac.id
Universitas Widya Kartika,Arsitektur,S1,7,5369/SK/BAN-PT/Ak.Ppj/S/VIII/2024,2024,UWIKA,s1arsitektur@UWIKA.ac.id
Universitas Bengkulu,Arsitektur,S1,PTN,5133/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,UNIB,s1arsitektur@UNIB.ac.id
Universitas Pradita,Arsitektur,S1,3,5079/SK/BAN-PT/Ak/S/VII/2024,2024,UP,s1arsitektur@UP.ac.id
Universitas Syiah Kuala,Arsitektur,S1,PTN,5173/SK/BAN-PT/PEPA-Ppj/S/VII/2024,2024,USK,s1arsitektur@USK.ac.id
Universitas 17 Agustus 1945 Surabaya,Arsitektur,S2,7,4616/SK/BAN-PT/Ak.P/M/VI/2024,2024,UNTAG Surabaya,s2arsitektur@UNTAGSurabaya.ac.id
Institut Teknologi Sumatera,Arsitektur,S1,PTN,6059/SK/BAN-PT/Ak/S/X/2024,2024,ITERA,s1arsitektur@ITERA.ac.id
Universitas Negeri Malang,Arsitektur,S1,PTN,4912/SK/BAN-PT/Ak.P/S/VII/2024,2024,UM,s1arsitektur@UM.ac.id
Universitas Gorontalo,Arsitektur,S1,16,4884/SK/BAN-PT/Ak/S/VII/2024,2024,UG,s1arsitektur@UG.ac.id
Universitas Bangka Belitung,Arsitektur,S1,PTN,4938/SK/BAN-PT/Ak/S/VII/2024,2024,UBB,s1arsitektur@UBB.ac.id
Universitas Mercu Buana,Arsitektur,S2,3,4602/SK/BAN-PT/Ak.P/M/VI/2024,2024,UMB,s2arsitektur@UMB.ac.id
Institut Teknologi Indonesia,Arsitektur,S1,3,4295/SK/BAN-PT/Ak.KP/S/V/2024,2024,ITI,s1arsitektur@ITI.ac.id
Universitas Mahakarya Asia,Arsitektur,S1,5,4370/SK/BAN-PT/Ak/S/V/2024,2024,UNMAHA,s1arsitektur@UNMAHA.ac.id
Universitas Bung Hatta,Arsitektur,S1,10,4215/SK/BAN-PT/Ak.KP/S/V/2024,2024,UBH,s1arsitektur@UBH.ac.id
Universitas Gadjah Mada,Doktor Arsitektur,S3,PTN,4290/SK/BAN-PT/Ak.KP/D/V/2024,2024,UGM,s3doktorarsitektur@UGM.ac.id
Universitas Tarumanagara,Arsitektur,S2,3,4310/SK/BAN-PT/Ak.KP/M/V/2024,2024,UNTAR,s2arsitektur@UNTAR.ac.id
Universitas Islam Indonesia,Arsitektur,S2,5,4309/SK/BAN-PT/Ak.KP/M/V/2024,2024,UII,s2arsitektur@UII.ac.id
Universitas Katolik Musi Charitas,Arsitektur,S1,2,4080/SK/BAN-PT/Ak-PNB/S/V/2024,2024,UKMC,s1arsitektur@UKMC.ac.id
Universitas Muhammadiyah Palembang,Arsitektur,S1,2,4022/SK/BAN-PT/Ak.Ppj/S/V/2024,2024,UMP,s1arsitektur@UMP.ac.id
Universitas Islam Zainul Hasan Genggong Probolinggo,Ilmu Seni Dan Arsitektur Islam,S1,PTAS,3936/SK/BAN-PT/Ak.P/S/IV/2024,2024,UNZAH Genggong,s1ilmusenidanarsitekturislam@UNZAHGenggong.ac.id
Universitas Halu Oleo,Teknik Arsitektur,D3,PTN,3800/SK/BAN-PT/Ak/D3/IV/2024,2024,UHO,d3teknikarsitektur@UHO.ac.id
Universitas Sains Alqur An,Arsitektur,S1,6,3840/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,UNSIQ,s1arsitektur@UNSIQ.ac.id
Universitas Merdeka Malang,Arsitektur,S2,7,3820/SK/BAN-PT/Ak.Ppj/M/IV/2024,2024,UNMER Malang,s2arsitektur@UNMERMalang.ac.id
Universitas Aisyiyah Yogyakarta,Arsitektur,S1,5,1214/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,UNISA Yogyakarta,s1arsitektur@UNISAYogyakarta.ac.id
Universitas Khairun,Arsitektur,S1,PTN,1101/SK/BAN-PT/Ak/S/IV/2024,2024,UNKHAIR,s1arsitektur@UNKHAIR.ac.id
Universitas 17 Agustus 1945 Samarinda,Arsitektur,S1,11,1141/SK/BAN-PT/Ak/S/IV/2024,2024,UNTAG Samarinda,s1arsitektur@UNTAGSamarinda.ac.id
Universitas Satyagama,Arsitektur,S1,3,1102/SK/BAN-PT/Ak/S/IV/2024,2024,USA,s1arsitektur@USA.ac.id
Universitas Surakarta,Arsitektur,S1,6,1205/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,UNSA,s1arsitektur@UNSA.ac.id
Sekolah Tinggi Teknik Multimedia Internasional Malang,Arsitektur,S1,7,1077/SK/BAN-PT/Ak-PNB/S/III/2024,2024,STT Multimedia,s1arsitektur@STTMultimedia.ac.id
Universitas Gadjah Mada,Arsitektur,S1,PTN,678/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,UGM,s1arsitektur@UGM.ac.id
Universitas Halu Oleo,Arsitektur,S1,PTN,189/SK/BAN-PT/Ak.Ppj/S/I/2023,2023,UHO,s1arsitektur@UHO.ac.id
Universitas Bosowa,Arsitektur,S1,9,480/SK/BAN-PT/Ak.Ppj/S/II/2023,2023,Ubos,s1arsitektur@Ubos.ac.id
Universitas Mataram,Arsitektur,S1,PTN,438/SK/BAN-PT/Ak/S/II/2023,2023,UNRAM,s1arsitektur@UNRAM.ac.id
Universitas Brawijaya,Arsitektur Lingkungan Binaan,S2,PTN,918/SK/BAN-PT/Ak.Ppj/M/III/2023,2023,UB,s2arsitekturlingkunganbinaan@UB.ac.id
Universitas Bung Karno,Arsitektur,S1,3,1037/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,UBK,s1arsitektur@UBK.ac.id
Institut Teknologi Nasional Bandung,Arsitektur,S1,4,1752/SK/BAN-PT/Ak.Ppj/S/V/2023,2023,ITENAS,s1arsitektur@ITENAS.ac.id
Universitas Muhammadiyah Makassar,Arsitektur,S1,9,1839/SK/BAN-PT/Ak/S/V/2023,2023,UNISMUH,s1arsitektur@UNISMUH.ac.id
Universitas Pembangunan Nasional Veteran Jawa Timur,Arsitektur,S1,PTN,1955/SK/BAN-PT/Ak.Ppj/S/V/2023,2023,UPN Veteran Jatim,s1arsitektur@UPNVeteranJatim.ac.id
Universitas PGRI Yogyakarta,Arsitektur,S1,5,1876/SK/BAN-PT/Ak/S/V/2023,2023,UPY,s1arsitektur@UPY.ac.id
Universitas Pohuwato,Arsitektur,S1,16,2077/SK/BAN-PT/Ak/S/VI/2023,2023,UNIPO,s1arsitektur@UNIPO.ac.id
Universitas Indonesia,Arsitektur Interior,S1,PTN,2507/SK/BAN-PT/Ak.Ppj/S/VI/2023,2023,UI,s1arsitekturinterior@UI.ac.id
Institut Teknologi Sepuluh Nopember,Arsitektur,S2,PTN,2626/SK/BAN-PT/Ak.Ppj/M/VII/2023,2023,ITS,s2arsitektur@ITS.ac.id
Universitas Diponegoro,Arsitektur,S2,PTN,2676/SK/BAN-PT/Akred-Itnl/M/VII/2023,2023,UNDIP,s2arsitektur@UNDIP.ac.id
Universitas Sains Dan Teknologi Jayapura,Arsitektur,S1,14,2600/SK/BAN-PT/Ak.KP/S/VII/2023,2023,USTJ,s1arsitektur@USTJ.ac.id
Sekolah Tinggi Teknologi Cirebon,Arsitektur,S1,4,2682/SK/BAN-PT/Ak/S/VII/2023,2023,STTC,s1arsitektur@STTC.ac.id
Universitas Diponegoro,Arsitektur,S1,PTN,2880/SK/BAN-PT/Akred-Itnl/S/VII/2023,2023,UNDIP,s1arsitektur@UNDIP.ac.id
Institut Teknologi Budi Utomo,Arsitektur,S1,3,2913/SK/BAN-PT/Ak/S/VII/2023,2023,ITBU,s1arsitektur@ITBU.ac.id
Universitas Bumi Hijrah Tidore,Arsitektur,S1,12,3137/SK/BAN-PT/Ak/S/VIII/2023,2023,UNIBRAH,s1arsitektur@UNIBRAH.ac.id
Universitas Adiwangsa Jambi,Arsitektur,S1,10,3221/SK/BAN-PT/Ak/S/VIII/2023,2023,UNAJA,s1arsitektur@UNAJA.ac.id
Universitas Kebangsaan Republik Indonesia,Arsitektur,S1,4,3204/SK/BAN-PT/Ak/S/VIII/2023,2023,UKRI,s1arsitektur@UKRI.ac.id
Universitas Katolik Soegijapranata,Arsitektur,S3,6,3280/SK/BAN-PT/Ak/D/VIII/2023,2023,UNIKA Soegijapranata,s3arsitektur@UNIKASoegijapranata.ac.id
Institut Teknologi Dan Bisnis Ahmad Dahlan,Arsitektur,S1,3,3533/SK/BAN-PT/Ak/S/IX/2023,2023,ITB-AD,s1arsitektur@ITB-AD.ac.id
Universitas Pembangunan Jaya,Arsitektur,S1,4,3929/SK/BAN-PT/Ak.KP/S/X/2023,2023,UPJ,s1arsitektur@UPJ.ac.id
Universitas Riau,Arsitektur,S1,PTN,4035/SK/BAN-PT/Ak/S/X/2023,2023,UNRI,s1arsitektur@UNRI.ac.id
Universitas Pendidikan Mandalika,Arsitektur,D3,8,4134/SK/BAN-PT/Ak.Ppj/D3/X/2023,2023,UNDIKMA,d3arsitektur@UNDIKMA.ac.id
Universitas Dwijendra,Arsitektur,S1,8,4174/SK/BAN-PT/Ak.KP/S/X/2023,2023,UNDWI,s1arsitektur@UNDWI.ac.id
Universitas Ciputra Surabaya,Arsitektur,S1,7,4275/SK/BAN-PT/Ak.Ppj/S/X/2023,2023,UC,s1arsitektur@UC.ac.id
Universitas Tanjungpura,Arsitektur,S1,PTN,4195/SK/BAN-PT/Ak.KP/S/X/2023,2023,UNTAN,s1arsitektur@UNTAN.ac.id
Universitas Mulawarman,Arsitektur,S1,PTN,4220/SK/BAN-PT/Ak/S/X/2023,2023,UNMUL,s1arsitektur@UNMUL.ac.id
Institut Teknologi Bandung,Arsitektur,S3,PTN,4368/SK/BAN-PT/Ak.Ppj/D/X/2023,2023,ITB,s3arsitektur@ITB.ac.id
Sekolah Tinggi Teknik Malang,Arsitektur,S1,7,4763/SK/BAN-PT/Ak/S/XI/2023,2023,STT Malang,s1arsitektur@STTMalang.ac.id
Universitas Musamus Merauke,Arsitektur,S1,PTN,4700/SK/BAN-PT/Ak/S/XI/2023,2023,UNMUS,s1arsitektur@UNMUS.ac.id
Universitas Citra Bangsa,Arsitektur,S1,15,4821/SK/BAN-PT/Ak/S/XI/2023,2023,UCB,s1arsitektur@UCB.ac.id
Universitas Bandar Lampung,Arsitektur,S1,2,4930/SK/BAN-PT/Ak.KP/S/XI/2023,2023,UBL,s1arsitektur@UBL.ac.id
Universitas Tadulako,Arsitektur,S1,PTN,4958/SK/BAN-PT/Ak.KP/S/XI/2023,2023,UNTAD,s1arsitektur@UNTAD.ac.id
Universitas Kristen Indonesia,Arsitektur,S2,3,5135/SK/BAN-PT/Ak.Ppj/M/XII/2023,2023,UKI,s2arsitektur@UKI.ac.id
Universitas Kristen Petra,Arsitektur,S2,7,5272/SK/BAN-PT/Ak.Ppj/M/XII/2023,2023,UK Petra,s2arsitektur@UKPetra.ac.id
Politeknik Negeri Samarinda,Arsitektur,D3,PTN,5306/SK/BAN-PT/PEPA-Ppj/D3/XII/2023,2023,POLNES,d3arsitektur@POLNES.ac.id
Universitas Riau Kepulauan,Arsitektur,S1,17,5336/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,UNRIKA,s1arsitektur@UNRIKA.ac.id
Universitas Balikpapan,Arsitektur,S1,11,979/SK/BAN-PT/PB-PS/S/II/2022,2022,UNIBA,s1arsitektur@UNIBA.ac.id
Universitas Tompotika Luwuk Banggai,Arsitektur,S1,16,1168/SK/BAN-PT/Akred/S/II/2022,2022,UNTIKA,s1arsitektur@UNTIKA.ac.id
Universitas Flores,Arsitektur,S1,15,1571/SK/BAN-PT/Ak-PPJ/S/III/2022,2022,UNIFLOR,s1arsitektur@UNIFLOR.ac.id
Universitas Ichsan Sidenreng Rappang,Arsitektur,S1,9,1589/SK/BAN-PT/PB-PS/S/III/2022,2022,UNISAN Sidrap,s1arsitektur@UNISANSidrap.ac.id
Universitas Islam Negeri Maulana Malik Ibrahim Malang,Teknik Arsitektur,S1,PTAN,1716/SK/BAN-PT/Ak-PPJ/S/III/2022,2022,UIN Maliki,s1teknikarsitektur@UINMaliki.ac.id
Institut Teknologi Bandung,Ilmu Seni Rupa Dan Desain,S3,PTN,6201/SK/BAN-PT/PEPA-Ppj/D/IV/2025,2025,ITB,s3ilmusenirupadandesain@ITB.ac.id
Universitas Cendekia Mitra Indonesia,Desain Komunikasi Visual,S1,5,6063/SK/BAN-PT/Ak.P/S/III/2025,2025,UCMI,s1desainkomunikasivisual@UCMI.ac.id
Universitas Pertiwi,Desain Komunikasi Visual,S1,4,6066/SK/BAN-PT/Ak.P/S/III/2025,2025,UNPER,s1desainkomunikasivisual@UNPER.ac.id
Politeknik Negeri Malang,Optimasi Desain Mekanik,S3 Terapan,PTN,475/SK/BAN-PT/Ak.P/DTr/III/2025,2025,POLINEMA,s3terapanoptimasidesainmekanik@POLINEMA.ac.id
Universitas Internasional Jakarta,Desain Komunikasi Visual,S1,4,316/SK/BAN-PT/Ak.P/S/II/2025,2025,UNIJA,s1desainkomunikasivisual@UNIJA.ac.id
Institut Seni Indonesia Yogyakarta,Desain Mode Kriya Batik,D4,PTN,339/SK/BAN-PT/Ak.S/STr/II/2025,2025,ISI Yogyakarta,d4desainmodekriyabatik@ISIYogyakarta.ac.id
Universitas Sains Indonesia,Desain Grafis,S1,4,237/SK/BAN-PT/Ak-PNB/S/II/2025,2025,USI,s1desaingrafis@USI.ac.id
Universitas Muhammadiyah Tegal,Desain Produk,D3,6,53/SK/BAN-PT/Ak.P/D3/I/2025,2025,UMT,d3desainproduk@UMT.ac.id
Institut Seni Indonesia Denpasar,Desain,S3,PTN,35/SK/BAN-PT/Ak.P/D/I/2025,2025,ISI Denpasar,s3desain@ISIDenpasar.ac.id
Institut Modern Arsitektur Dan Teknologi,Desain Komunikasi Visual,S1,1,19/SK/BAN-PT/Ak.P/S/I/2025,2025,IMAT,s1desainkomunikasivisual@IMAT.ac.id
Universitas Ciputra Surabaya,Desain Komunikasi Visual,S1,7,6242/SK/BAN-PT/Ak.KP/S/IV/2025,2025,UC,s1desainkomunikasivisual@UC.ac.id
Universitas Kristen Petra,Desain Komunikasi Visual,S1,7,6246/SK/BAN-PT/Ak.KP/S/IV/2025,2025,UK Petra,s1desainkomunikasivisual@UKPetra.ac.id
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Semarang),S1,3,6274/SK/BAN-PT/Ak.P/S/IV/2025,2025,BINUS,s1desainkomunikasivisualkampuskotasemarang@BINUS.ac.id
Universitas Telkom,Desain Komunikasi Visual,S1,4,6298/SK/BAN-PT/Ak.KP/S/IV/2025,2025,TEL-U,s1desainkomunikasivisual@TEL-U.ac.id
Universitas Katolik Soegijapranata,Desain Komunikasi Visual,S1,6,6299/SK/BAN-PT/Ak.KP/S/IV/2025,2025,UNIKA Soegijapranata,s1desainkomunikasivisual@UNIKASoegijapranata.ac.id
Universitas Telkom,Desain Produk,S1,4,6343/SK/BAN-PT/Ak.KP/S/V/2025,2025,TEL-U,s1desainproduk@TEL-U.ac.id
Universitas Informatika Dan Bisnis Indonesia,Desain Komunikasi Visual,S1,4,6407/SK/BAN-PT/Ak.Ppj/S/V/2025,2025,UNIBI,s1desainkomunikasivisual@UNIBI.ac.id
Universitas Kristen Petra,Desain Interior,S1,7,6336/SK/BAN-PT/Ak.KP/S/V/2025,2025,UK Petra,s1desaininterior@UKPetra.ac.id
Universitas Komputer Indonesia,Desain,S2,4,6514/SK/BAN-PT/Ak.KP/M/V/2025,2025,UNIKOM,s2desain@UNIKOM.ac.id
Universitas Surabaya,Desain Produk,S1,7,6469/SK/BAN-PT/Ak.KP/S/V/2025,2025,UBAYA,s1desainproduk@UBAYA.ac.id
Politeknik Kreatif Indonesia,Desain Mode,D4,3,6733/SK/BAN-PT/Ak/STr/VI/2025,2025,Polkrefindo,d4desainmode@Polkrefindo.ac.id
Universitas Negeri Padang,Pendidikan Vokasional Desain Fashion,S1,PTN,669/SK/LAMDIK/Ak-PSB/S/VI/2025,2025,UNP,s1pendidikanvokasionaldesainfashion@UNP.ac.id
Universitas Widyatama,Desain Grafis,D4,4,6825/SK/BAN-PT/PEPA-Ppj/STr/VI/2025,2025,UTAMA,d4desaingrafis@UTAMA.ac.id
Universitas Wiraraja,Desain Komunikasi Visual,S1,7,6772/SK/BAN-PT/Ak.P/S/VI/2025,2025,UNIVIRA,s1desainkomunikasivisual@UNIVIRA.ac.id
Universitas PGRI Silampari,Desain Komunikasi Visual,S1,2,6801/SK/BAN-PT/Ak/S/VI/2025,2025,UNPIR,s1desainkomunikasivisual@UNPIR.ac.id
Universitas Pembangunan Nasional Veteran Jawa Timur,Desain Interior,S1,PTN,6802/SK/BAN-PT/Ak/S/VI/2025,2025,UPN Veteran Jatim,s1desaininterior@UPNVeteranJatim.ac.id
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Medan),S1,3,2423/SK/BAN-PT/Ak.P/S1/V/2025,2025,BINUS,s1desainkomunikasivisualkampuskotamedan@BINUS.ac.id
Institut Seni Indonesia Denpasar,Desain,S2,PTN,6858/SK/BAN-PT/Ak/S2/VII/2025,2025,ISI Denpasar,s2desain@ISIDenpasar.ac.id
Universitas Pelita Harapan,Desain Interior,S1,3,6920/SK/BAN-PT/Ak/S1/VII/2025,2025,UPH,s1desaininterior@UPH.ac.id
Akademi Kesejahteraan Sosial AKK,Desain Busana,D3,5,7000/SK/BAN-PT/Ak.Ppj/D3/VII/2025,2025,AKK,d3desainbusana@AKK.ac.id
Universitas Dinamika,Desain Komunikasi Visual,S1,7,7052/SK/BAN-PT/Ak/S1/VII/2025,2025,UNDIKA,s1desainkomunikasivisual@UNDIKA.ac.id
Universitas Ichsan Gorontalo,Desain Komunikasi Visual,S1,16,7086/SK/BAN-PT/Ak.S/S1/VII/2025,2025,UNISAN,s1desainkomunikasivisual@UNISAN.ac.id
Institut Teknologi Bandung,Desain Interior,S1,PTN,7089/SK/BAN-PT/Ak.Ppj/S1/VII/2025,2025,ITB,s1desaininterior@ITB.ac.id
Politeknik TEDC,Mekanik Industri Dan Desain,D4,4,0479/SK/LAM Teknik/VST/VIII/2025,2025,POLTEK TEDC,d4mekanikindustridandesain@POLTEKTEDC.ac.id
Institut Bisnis Dan Teknologi Indonesia,Desain Komunikasi Visual,S1,8,7126/SK/BAN-PT/Ak/S1/VIII/2025,2025,INSTIKI,s1desainkomunikasivisual@INSTIKI.ac.id
Universitas Bhinneka Nusantara,Desain Komunikasi Visual,S1,7,7375/SK/BAN-PT/Ak-PNB/S/VIII/2025,2025,UBN,s1desainkomunikasivisual@UBN.ac.id
Universitas Sahid Surakarta,Desain Interior,S1,6,7171/SK/BAN-PT/Ak.Ppj/S/VIII/2025,2025,USAP,s1desaininterior@USAP.ac.id
Politeknik Seni Yogyakarta,Desain Komunikasi Visual,D3,5,7120/SK/BAN-PT/Ak.P/D3/VIII/2025,2025,POLTEKSENI,d3desainkomunikasivisual@POLTEKSENI.ac.id
Universitas Negeri Jakarta,Desain Mode,D4,PTN,7166/SK/BAN-PT/Ak.Ppj/STr/VIII/2025,2025,UNJ,d4desainmode@UNJ.ac.id
Universitas Teknologi Digital,Desain Komunikasi Visual,S1,4,7129/SK/BAN-PT/Ak.P/S/VIII/2025,2025,UTD,s1desainkomunikasivisual@UTD.ac.id
Universitas Trilogi,Desain Komunikasi Visual,S1,3,7107/SK/BAN-PT/Ak.S/S/VIII/2025,2025,TRILOGI,s1desainkomunikasivisual@TRILOGI.ac.id
Institut Seni Budaya Indonesia Aceh,Desain Komunikasi Visual,S1,PTN,7228/SK/BAN-PT/Ak.S/S/VIII/2025,2025,ISBI Aceh,s1desainkomunikasivisual@ISBIAceh.ac.id
Universitas Sebelas Maret,Desain Mode,S1,PTN,7236/SK/BAN-PT/Ak-PNB/S/VIII/2025,2025,UNS,s1desainmode@UNS.ac.id
Politeknik Tempo,Desain Media,D4,3,7415/SK/BAN-PT/Ak/STr/IX/2025,2025,POLTEM,d4desainmedia@POLTEM.ac.id
Institut Informatika Indonesia Surabaya,Desain Produk,S1,7,7553/SK/BAN-PT/Ak-TMSP/S/IX/2025,2025,III Surabaya,s1desainproduk@IIISurabaya.ac.id
Institut Teknologi Sains Bandung,Desain Produk,S1,4,7558/SK/BAN-PT/Ak/S/IX/2025,2025,ITSB,s1desainproduk@ITSB.ac.id
Institut Seni Budaya Indonesia Bandung,Desain Interior,S1,PTN,7159/SK/BAN-PT/Ak.P/S1/VIII/2025,2025,ISBI Bandung,s1desaininterior@ISBIBandung.ac.id
Institut Komunikasi Dan Bisnis LSPR,Desain Media,D4,3,7128/SK/BAN-PT/Ak.P/D4/VIII/2025,2025,LSPR,d4desainmedia@LSPR.ac.id
Universitas Kristen Petra,Desain,S2,7,7142/SK/BAN-PT/Ak.P/S2/VIII/2025,2025,UK Petra,s2desain@UKPetra.ac.id
Universitas Mulia,Desain Komunikasi Visual,S1,11,7151/SK/BAN-PT/Ak.P/S1/VIII/2025,2025,UNI MULA,s1desainkomunikasivisual@UNIMULA.ac.id
Institut Seni Indonesia Surakarta,Desain Produk Industri,S1,PTN,7173/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,ISI Surakarta,s1desainprodukindustri@ISISurakarta.ac.id
Universitas Fort De Kock,Desain Komunikasi Visual,S1,10,7182/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,UFD KOCK,s1desainkomunikasivisual@UFDKOCK.ac.id
Institut Teknologi Adhi Tama Surabaya,Desain Produk,S1,7,7620/SK/BAN-PT/PEPA-Ppj/S/IX/2025,2025,ITATS,s1desainproduk@ITATS.ac.id
Institut Informatika Dan Bisnis Darmajaya,Desain Komunikasi Visual,S1,2,7601/SK/BAN-PT/Ak/S/IX/2025,2025,IIB Darmajaya,s1desainkomunikasivisual@IIBDarmajaya.ac.id
Universitas Bina Insani,Desain Komunikasi Visual,S1,4,7211/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,UNI BI,s1desainkomunikasivisual@UNIBI.ac.id
Universitas Sebelas Maret,Desain Media Digital,D4,PTN,7212/SK/BAN-PT/Ak.P/2.0/D4/IX/2025,2025,UNS,d4desainmediadigital@UNS.ac.id
Universitas Tiga Serangkai,Desain Produk Tekstil,D3,6,7680/SK/BAN-PT/Ak-PNB/D3/IX/2025,2025,UTISA,d3desainproduktekstil@UTISA.ac.id
Universitas Tiga Serangkai,Desain Komunikasi Visual,D3,6,7701/SK/BAN-PT/Ak-PNB/D3/IX/2025,2025,UTISA,d3desainkomunikasivisual@UTISA.ac.id
Institut Seni Indonesia Surakarta,Desain Komunikasi Visual,S1,PTN,7799/SK/BAN-PT/Ak.S/S/X/2025,2025,ISI Surakarta,s1desainkomunikasivisual@ISISurakarta.ac.id
Institut Teknologi Sepuluh Nopember,Desain Interior,S1,PTN,7798/SK/BAN-PT/Ak.Ppj/S/X/2025,2025,ITS,s1desaininterior@ITS.ac.id
Universitas Muhammadiyah Surabaya,Desain Komunikasi Visual,S1,7,7820/SK/BAN-PT/Ak.S/S/X/2025,2025,UM Surabaya,s1desainkomunikasivisual@UMSurabaya.ac.id
Universitas Pradita,Desain Interior,S1,3,7871/SK/BAN-PT/Ak.Ppj/S/X/2025,2025,UP,s1desaininterior@UP.ac.id
Universitas Telkom,Desain Komunikasi Visual (Kampus Jakarta),S1,4,7852/SK/BAN-PT/Ak/S/X/2025,2025,TEL-U,s1desainkomunikasivisualkampusjakarta@TEL-U.ac.id
Universitas Ibn Khaldun Bogor,Pendidikan Vokasional Desain Fashion,S1,4,1807/SK/LAMDIK/Ak/S/X/2025,2025,UIKA Bogor,s1pendidikanvokasionaldesainfashion@UIKABogor.ac.id
Universitas Pelita Harapan,Desain Produk,S1,3,8017/SK/BAN-PT/Ak/S/X/2025,2025,UPH,s1desainproduk@UPH.ac.id
Sekolah Tinggi Teknologi Muhammadiyah AR Fachruddin,Desain Komunikasi Visual,S1,7,8009/SK/BAN-PT/Ak/S/X/2025,2025,STTM Ar Fachruddin,s1desainkomunikasivisual@STTMArFachruddin.ac.id
