Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,email,Peringkat_Akreditasi,Tanggal_Kadaluarsa,Status_Kadaluarsa
Universitas Trisakti,Arsitektur,S1,3,6730/SK/BAN-PT/Ak.KP/S/XI/2024,2024,ftsp@trisakti.ac.id,Unggul,2029-09-04,Masih Berlaku
Universitas Katolik Widya Mandira Kupang,Arsitektur,S1,15,6536/SK/BAN-PT/Ak/S/XI/2024,2024,info@unwira.ac.id,Baik,2029-11-05,Masih Berlaku
Universitas Katolik Parahyangan,Arsitektur,S1,4,6525/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,fteknik@home.unpar.ac.id,Unggul,2029-11-13,Masih Berlaku
Universitas Kaltara,Arsitektur,S1,11,6320/SK/BAN-PT/Ak/S/X/2024,2024,arsitekturunikaltar@gmail.com,Baik,2029-10-19,Masih Berlaku
Universitas Muhammadiyah Jakarta,Arsitektur,S1,3,6406/SK/BAN-PT/PEPA-Ppj/S/X/2024,2024,arsitektur@ftumj.ac.id,Baik Sekali,2029-10-19,Masih Berlaku
Universitas Atma Jaya Yogyakarta,Arsitektur,S1,5,6078/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,prodi.arsitektur@uajy.ac.id,A,2029-10-16,Masih Berlaku
Politeknik Negeri Samarinda,Arsitektur Bangunan Gedung,D-IV,PTN,6028/SK/BAN-PT/Ak/STr/IX/2024,2024,humas@polnes.ac.id,Baik,2029-09-24,Masih Berlaku
Universitas Udayana,Arsitektur,S1,PTN,6025/SK/BAN-PT/Ak.Ppj/S/IX/2024,2024,arsitektur.ft@unud.ac.id,Unggul,2029-09-19,Masih Berlaku
Universitas Mercu Buana,Arsitektur,S1,3,4723/SK/BAN-PT/Ak/S/VI/2024,2024,umb@mercubuana.ac.id,Baik Sekali,2029-06-25,Masih Berlaku
Universitas Katolik Soegijapranata,Arsitektur,S1,6,4762/SK/BAN-PT/Ak.Ppj/S/VI/2024,2024,arsitektur@unika.ac.id,Unggul,2029-07-10,Masih Berlaku
Institut Teknologi Sepuluh Nopember,Ilmu Arsitektur,S3,PTN,4751/SK/BAN-PT/PEPA-Ppj/D/VI/2024,2026,arsitektur@its.ac.id,Unggul,2031-01-13,Masih Berlaku
Universitas Gadjah Mada,Arsitektur,S2,PTN,5912/SK/BAN-PT/Ak.KP/M/IX/2024,2024,info@ugm.ac.id,Unggul,2027-06-20,Masih Berlaku
Universitas Atma Jaya Yogyakarta,Arsitektur,S3,5,5692/SK/BAN-PT/Ak.P/D/VIII/2024,2024,humas@uajy.ac.id,Baik,2026-08-27,89 hari lagi kadaluarsa
Universitas Islam Negeri Ar-Raniry Banda Aceh,Arsitektur,S1,PTAN,5599/SK/BAN-PT/Ak.KP/S/VIII/2024,2026,info@ar-raniry.ac.id,Baik Sekali,,Masih Berlaku
Institut Teknologi Bandung,Arsitektur Lanskap,S2,PTN,5684/SK/BAN-PT/PEPA-Ppj/M/VIII/2024,2024,humas@itb.ac.id,Baik Sekali,2029-08-27,Masih Berlaku
Universitas Indonesia,Arsitektur,S3,PTN,5547/SK/BAN-PT/Ak.KP/D/VIII/2024,2024,arsitektur@eng.ui.ac.id,Unggul,2028-06-27,Masih Berlaku
Universitas Amikom Yogyakarta,Arsitektur,S1,5,5498/SK/BAN-PT/Ak/S/VIII/2024,2024,humas@amikom.ac.id,Baik Sekali,2029-08-19,Masih Berlaku
Universitas Indraprasta PGRI,Arsitektur,S1,3,5503/SK/BAN-PT/Ak/S/VIII/2024,2024,kampus@unindra.ac.id,Baik,2029-08-19,Masih Berlaku
Universitas Kristen Duta Wacana,Arsitektur,S1,5,5548/SK/BAN-PT/Ak.KP/S/VIII/2024,2025,fad@staff.ukdw.ac.id,Unggul,2030-12-31,Masih Berlaku
Universitas Pancasila,Arsitektur,S1,3,5452/SK/BAN-PT/Ak.KP/S/VIII/2024,2026,ars.ftup@univpancasila.ac.id,Unggul,2031-03-07,Masih Berlaku
Institut Teknologi Nasional Malang,Arsitektur,S1,7,5484/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,arsitektur-s1@itn.ac.id,Baik Sekali,2028-05-31,Masih Berlaku
Universitas Sebelas Maret,Arsitektur,S2,PTN,5349/SK/BAN-PT/Ak/M/VIII/2024,2024,s2arsitektur@ft.uns.ac.id,Baik Sekali,2029-08-13,Masih Berlaku
Universitas Pelita Bangsa,Arsitektur,S1,4,5346/SK/BAN-PT/Ak/S/VIII/2024,2024,arsitektur@pelitabangsa.ac.id,Baik,2029-08-13,Masih Berlaku
Universitas Almuslim,Arsitektur,S1,13,5380/SK/BAN-PT/Ak.Ppj/S/VIII/2024,2024,info@almuslim.ac.id,Baik,2029-08-21,Masih Berlaku
Universitas Widya Kartika,Arsitektur,S1,7,5369/SK/BAN-PT/Ak.Ppj/S/VIII/2024,2024,info@widyakartika.ac.id,B,2029-08-21,Masih Berlaku
Universitas Bengkulu,Arsitektur,S1,PTN,5133/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,humas@unib.ac.id,B,2029-08-07,Masih Berlaku
Universitas Pradita,Arsitektur,S1,3,5079/SK/BAN-PT/Ak/S/VII/2024,2024,info@pradita.ac.id,Baik,2029-07-23,Masih Berlaku
Universitas Syiah Kuala,Arsitektur,S1,PTN,5173/SK/BAN-PT/PEPA-Ppj/S/VII/2024,2024,arsitektur@unsyiah.ac.id,Baik Sekali,2029-07-30,Masih Berlaku
Universitas 17 Agustus 1945 Surabaya,Arsitektur,S2,7,4616/SK/BAN-PT/Ak.P/M/VI/2024,2024,marsitektur@untag-sby.ac.id,Terakreditasi Sementara,2029-06-11,Masih Berlaku
Institut Teknologi Sumatera,Arsitektur,S1,PTN,6059/SK/BAN-PT/Ak/S/X/2024,2024,ar@itera.ac.id,Baik Sekali,2029-10-03,Masih Berlaku
Universitas Negeri Malang,Arsitektur,S1,PTN,4912/SK/BAN-PT/Ak.P/S/VII/2024,2024,humas@um.ac.id,Terakreditasi Sementara,2029-07-09,Masih Berlaku
Universitas Gorontalo,Arsitektur,S1,16,4884/SK/BAN-PT/Ak/S/VII/2024,2024,universitas_gorontalo@yahoo.co.id,Baik,2029-07-09,Masih Berlaku
Universitas Bangka Belitung,Arsitektur,S1,PTN,4938/SK/BAN-PT/Ak/S/VII/2024,2024,info@ubb.ac.id,Baik,2029-07-15,Masih Berlaku
Universitas Mercu Buana,Arsitektur,S2,3,4602/SK/BAN-PT/Ak.P/M/VI/2024,2024,umb@mercubuana.ac.id,Terakreditasi Sementara,2029-06-06,Masih Berlaku
Institut Teknologi Indonesia,Arsitektur,S1,3,4295/SK/BAN-PT/Ak.KP/S/V/2024,2024,info@iti.ac.id,Baik Sekali,2026-10-21,144 hari lagi kadaluarsa
Universitas Mahakarya Asia,Arsitektur,S1,5,4370/SK/BAN-PT/Ak/S/V/2024,2024,akademik@unmaha.ac.id,Baik,2029-05-21,Masih Berlaku
Universitas Bung Hatta,Arsitektur,S1,10,4215/SK/BAN-PT/Ak.KP/S/V/2024,2024,humas@bunghatta.ac.id,Baik Sekali,2028-07-25,Masih Berlaku
Universitas Gadjah Mada,Arsitektur,S3,PTN,4290/SK/BAN-PT/Ak.KP/D/V/2024,2024,info@ugm.ac.id,Unggul,2027-07-05,Masih Berlaku
Universitas Tarumanagara,Arsitektur,S2,3,4310/SK/BAN-PT/Ak.KP/M/V/2024,2024,prodi.s2ars@ft.untar.ac.id,Baik Sekali,2026-11-25,179 hari lagi kadaluarsa
Universitas Islam Indonesia,Arsitektur,S2,5,4309/SK/BAN-PT/Ak.KP/M/V/2024,2024,architecture@uii.ac.id,Baik Sekali,2029-05-22,Masih Berlaku
Universitas Katolik Musi Charitas,Arsitektur,S1,2,4080/SK/BAN-PT/Ak-PNB/S/V/2024,2024,rektorat@ukmc.ac.id,Baik,2029-04-16,Masih Berlaku
Universitas Muhammadiyah Palembang,Arsitektur,S1,2,4022/SK/BAN-PT/Ak.Ppj/S/V/2024,2024,tek_arsitektur@plasa.com,B,2029-05-15,Masih Berlaku
Universitas Sains Alqur An,Arsitektur,S1,6,3840/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,arsitektur@unsiq.ac.id,A,2029-04-24,Masih Berlaku
Universitas Merdeka Malang,Arsitektur,S2,7,3820/SK/BAN-PT/Ak.Ppj/M/IV/2024,2025,magister.arsitektur@unmer.ac.id,Baik Sekali,2029-04-24,Masih Berlaku
Universitas Aisyiyah Yogyakarta,Arsitektur,S1,5,1214/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,info@unisayogya.ac.id,B,2029-04-10,Masih Berlaku
Universitas Khairun,Arsitektur,S1,PTN,1101/SK/BAN-PT/Ak/S/IV/2024,2024,admin@unkhair.ac.id,Baik Sekali,2029-04-02,Masih Berlaku
Universitas 17 Agustus 1945 Samarinda,Arsitektur,S1,11,1141/SK/BAN-PT/Ak/S/IV/2024,2024,arsitektur@untag-smd.ac.id,Baik,2029-04-02,Masih Berlaku
Universitas Satyagama,Arsitektur,S1,3,1102/SK/BAN-PT/Ak/S/IV/2024,2024,info@satyagama.ac.id,Baik,2029-04-02,Masih Berlaku
Universitas Surakarta,Arsitektur,S1,6,1205/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,arsitektur.unsa@gmail.com,B,2029-04-10,Masih Berlaku
Sekolah Tinggi Teknik Multimedia Internasional Malang,Arsitektur,S1,7,1077/SK/BAN-PT/Ak-PNB/S/III/2024,2024,info@sttm-malang.ac.id,Baik,2028-11-14,Masih Berlaku
Universitas Gadjah Mada,Arsitektur,S1,PTN,678/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,archiplan@ugm.ac.id,Unggul,2028-01-31,Masih Berlaku
Universitas Halu Oleo,Arsitektur,S1,PTN,189/SK/BAN-PT/Ak.Ppj/S/I/2023,2025,humas@uho.ac.id,Baik Sekali,2027-08-16,Masih Berlaku
Universitas Bosowa,Arsitektur,S1,9,480/SK/BAN-PT/Ak.Ppj/S/II/2023,2023,info@universitasbosowa.ac.id,B,2027-09-13,Masih Berlaku
Universitas Mataram,Arsitektur,S1,PTN,438/SK/BAN-PT/Ak/S/II/2023,2023,rektorat@unram.ac.id,Baik,2028-02-14,Masih Berlaku
Universitas Brawijaya,Arsitektur Lingkungan Binaan,S2,PTN,918/SK/BAN-PT/Ak.Ppj/M/III/2023,2023,humas@ub.ac.id,Unggul,2028-03-28,Masih Berlaku
Universitas Bung Karno,Arsitektur,S1,3,1037/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,info@ubk.ac.id,B,2028-04-04,Masih Berlaku
Institut Teknologi Nasional Bandung,Arsitektur,S1,4,1752/SK/BAN-PT/Ak.Ppj/S/V/2023,2026,humas@itenas.ac.id,Unggul,2031-01-13,Masih Berlaku
Universitas Muhammadiyah Makassar,Arsitektur,S1,9,1839/SK/BAN-PT/Ak/S/V/2023,2023,info@unismuh.ac.id,Unggul,2028-05-17,Masih Berlaku
Universitas Pembangunan Nasional Veteran Jawa Timur,Arsitektur,S1,PTN,1955/SK/BAN-PT/Ak.Ppj/S/V/2023,2023,arsitektur.upn.jatim@gmail.com,B,2028-06-07,Masih Berlaku
Universitas PGRI Yogyakarta,Arsitektur,S1,5,1876/SK/BAN-PT/Ak/S/V/2023,2023,info@upy.ac.id,Baik,2028-05-23,Masih Berlaku
Universitas Pohuwato,Arsitektur,S1,16,2077/SK/BAN-PT/Ak/S/VI/2023,2023,info@unipo.ac.id,Baik,2028-06-06,Masih Berlaku
Universitas Indonesia,Arsitektur Interior,S1,PTN,2507/SK/BAN-PT/Ak.Ppj/S/VI/2023,2023,arsitektur@eng.ui.ac.id,Unggul,2028-07-11,Masih Berlaku
Institut Teknologi Sepuluh Nopember,Arsitektur,S2,PTN,2626/SK/BAN-PT/Ak.Ppj/M/VII/2023,2023,arsitektur@its.ac.id,A,2028-07-18,Masih Berlaku
Universitas Diponegoro,Arsitektur,S2,PTN,2676/SK/BAN-PT/Akred-Itnl/M/VII/2023,2023,mtaundip94@yahoo.com,Unggul,2027-09-30,Masih Berlaku
Universitas Sains Dan Teknologi Jayapura,Arsitektur,S1,14,2600/SK/BAN-PT/Ak.KP/S/VII/2023,2023,arsitektur.ustj@yahoo.com,Baik Sekali,2027-06-21,Masih Berlaku
Sekolah Tinggi Teknologi Cirebon,Arsitektur,S1,4,2682/SK/BAN-PT/Ak/S/VII/2023,2023,info@sttcirebon.ac.id,Baik,2028-07-11,Masih Berlaku
Universitas Diponegoro,Arsitektur,S1,PTN,2880/SK/BAN-PT/Akred-Itnl/S/VII/2023,2023,humas@live.undip.ac.id,Unggul,2027-09-30,Masih Berlaku
Institut Teknologi Budi Utomo,Arsitektur,S1,3,2913/SK/BAN-PT/Ak/S/VII/2023,2023,info@itbu.ac.id,Baik,2028-07-25,Masih Berlaku
Universitas Bumi Hijrah Tidore,Arsitektur,S1,12,3137/SK/BAN-PT/Ak/S/VIII/2023,2023,info@unibuh.ac.id,Baik,2028-08-08,Masih Berlaku
Universitas Adiwangsa Jambi,Arsitektur,S1,10,3221/SK/BAN-PT/Ak/S/VIII/2023,2023,arsitektur@unaja.ac.id,Baik,2028-08-15,Masih Berlaku
Universitas Kebangsaan Republik Indonesia,Arsitektur,S1,4,3204/SK/BAN-PT/Ak/S/VIII/2023,2023,ftsp@ukri.ac.id,Baik Sekali,2028-08-15,Masih Berlaku
Universitas Katolik Soegijapranata,Arsitektur,S3,6,3280/SK/BAN-PT/Ak/D/VIII/2023,2023,psda@unika.ac.id,Baik,2028-08-22,Masih Berlaku
Institut Teknologi Dan Bisnis Ahmad Dahlan,Arsitektur,S1,3,3533/SK/BAN-PT/Ak/S/IX/2023,2023,info@itbad.ac.id,Baik,2028-09-05,Masih Berlaku
Universitas Pembangunan Jaya,Arsitektur,S1,4,3929/SK/BAN-PT/Ak.KP/S/X/2023,2023,info@upj.ac.id,Baik Sekali,2027-12-13,Masih Berlaku
Universitas Riau,Arsitektur,S1,PTN,4035/SK/BAN-PT/Ak/S/X/2023,2023,arsitektur@unri.ac.id,Baik Sekali,2028-10-10,Masih Berlaku
Universitas Pendidikan Mandalika,Arsitektur,D-III,8,4134/SK/BAN-PT/Ak.Ppj/D3/X/2023,2023,info@undikma.ac.id,Baik,2027-07-12,Masih Berlaku
Universitas Dwijendra,Arsitektur,S1,8,4174/SK/BAN-PT/Ak.KP/S/X/2023,2023,arsitekturdwijendra@gmail.com,Baik Sekali,2028-01-04,Masih Berlaku
Universitas Ciputra Surabaya,Arsitektur,S1,7,4275/SK/BAN-PT/Ak.Ppj/S/X/2023,2026,info@ciputra.ac.id,Unggul,2031-05-05,Masih Berlaku
Universitas Tanjungpura,Arsitektur,S1,PTN,4195/SK/BAN-PT/Ak.KP/S/X/2023,2023,architecture@untan.ac.id,Baik Sekali,2027-12-28,Masih Berlaku
Universitas Mulawarman,Arsitektur,S1,PTN,4220/SK/BAN-PT/Ak/S/X/2023,2023,humas@unmul.ac.id,Baik,2028-10-17,Masih Berlaku
Institut Teknologi Bandung,Arsitektur,S3,PTN,4368/SK/BAN-PT/Ak.Ppj/D/X/2023,2023,sekres2@ar.itb.ac.id,Unggul,2028-10-24,Masih Berlaku
Sekolah Tinggi Teknik Malang,Arsitektur,S1,7,4763/SK/BAN-PT/Ak/S/XI/2023,2023,stt@stt.ac.id,Baik,2028-11-14,Masih Berlaku
Universitas Musamus Merauke,Arsitektur,S1,PTN,4700/SK/BAN-PT/Ak/S/XI/2023,2023,arsitek@unmus.ac.id,Baik Sekali,2028-11-14,Masih Berlaku
Universitas Citra Bangsa,Arsitektur,S1,15,4821/SK/BAN-PT/Ak/S/XI/2023,2023,info@ucb.ac.id,Baik,2028-11-21,Masih Berlaku
Universitas Bandar Lampung,Arsitektur,S1,2,4930/SK/BAN-PT/Ak.KP/S/XI/2023,2023,arsitektur@ubl.ac.id,Baik Sekali,2028-03-28,Masih Berlaku
Universitas Tadulako,Arsitektur,S1,PTN,4958/SK/BAN-PT/Ak.KP/S/XI/2023,2023,humas@untad.ac.id,Baik Sekali,2028-06-27,Masih Berlaku
Universitas Kristen Indonesia,Arsitektur,S2,3,5135/SK/BAN-PT/Ak.Ppj/M/XII/2023,2023,pps-mih@uki.ac.id,Baik Sekali,2028-12-20,Masih Berlaku
Universitas Kristen Petra,Arsitektur,S2,7,5272/SK/BAN-PT/Ak.Ppj/M/XII/2023,2023,info@petra.ac.id,B,2028-12-29,Masih Berlaku
Politeknik Negeri Samarinda,Arsitektur,D-III,PTN,5306/SK/BAN-PT/PEPA-Ppj/D3/XII/2023,2023,humas@polnes.ac.id,Baik,2028-12-07,Masih Berlaku
Universitas Riau Kepulauan,Arsitektur,S1,17,5336/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,ft_unrika@yahoo.com,Baik,2028-10-03,Masih Berlaku
Universitas Balikpapan,Arsitektur,S1,11,979/SK/BAN-PT/PB-PS/S/II/2022,2022,arsitektur@uniba-bpn.ac.id,Baik,2026-06-01,2 hari lagi kadaluarsa
Universitas Tompotika Luwuk Banggai,Arsitektur,S1,16,1168/SK/BAN-PT/Akred/S/II/2022,2022,info@untika.ac.id,Baik,2027-02-22,Masih Berlaku
Universitas Flores,Arsitektur,S1,15,1571/SK/BAN-PT/Ak-PPJ/S/III/2022,2022,ars_uniflor@yahoo.co.id,B,2026-08-19,81 hari lagi kadaluarsa
Universitas Ichsan Sidenreng Rappang,Arsitektur,S1,9,1589/SK/BAN-PT/PB-PS/S/III/2022,2022,info@unisan.ac.id,Baik,2026-12-28,Masih Berlaku
Universitas Islam Negeri Maulana Malik Ibrahim Malang,Teknik Arsitektur,S1,PTAN,1716/SK/BAN-PT/Ak-PPJ/S/III/2022,2022,info@uin-malang.ac.id,B,2027-03-30,Masih Berlaku
Institut Teknologi Bandung,Ilmu Seni Rupa Dan Desain,S3,PTN,6201/SK/BAN-PT/PEPA-Ppj/D/IV/2025,2025,fsrditb@yahoo.com,B,2030-04-14,Masih Berlaku
Universitas Cendekia Mitra Indonesia,Desain Komunikasi Visual,S1,5,6063/SK/BAN-PT/Ak.P/S/III/2025,2025,info@unicimi.ac.id,Baik,2027-03-25,Masih Berlaku
Universitas Pertiwi,Desain Komunikasi Visual,S1,4,6066/SK/BAN-PT/Ak.P/S/III/2025,2026,marketing@pertiwi.ac.id,Baik,2031-01-13,Masih Berlaku
Universitas Internasional Jakarta,Desain Komunikasi Visual,S1,4,316/SK/BAN-PT/Ak.P/S/II/2025,2025,official@jiu.ac,Baik,2030-12-16,Masih Berlaku
Institut Seni Indonesia Yogyakarta,Desain Mode Kriya Batik,D-IV,PTN,339/SK/BAN-PT/Ak.S/STr/II/2025,2026,arts@isi.ac.id,Baik,2031-03-03,Masih Berlaku
Universitas Sains Indonesia,Desain Grafis,S1,4,237/SK/BAN-PT/Ak-PNB/S/II/2025,2026,info@usi.ac.id,Baik,2027-04-07,Masih Berlaku
Universitas Muhammadiyah Tegal,Desain Produk,D-III,6,53/SK/BAN-PT/Ak.P/D3/I/2025,2025,info@umtegal.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Institut Seni Indonesia Denpasar,Desain,S3,PTN,35/SK/BAN-PT/Ak.P/D/I/2025,2025,humas@isi-dps.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Institut Modern Arsitektur Dan Teknologi,Desain Komunikasi Visual,S1,1,19/SK/BAN-PT/Ak.P/S/I/2025,2025,info@imat.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Universitas Ciputra Surabaya,Desain Komunikasi Visual,S1,7,6242/SK/BAN-PT/Ak.KP/S/IV/2025,2025,info@ciputra.ac.id,Unggul,2030-12-14,Masih Berlaku
Universitas Kristen Petra,Desain Komunikasi Visual,S1,7,6246/SK/BAN-PT/Ak.KP/S/IV/2025,2025,kj-dkv@petra.ac.id,Unggul,2030-04-08,Masih Berlaku
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Semarang),S1,3,6274/SK/BAN-PT/Ak.P/S/IV/2025,2026,nudin@binus.edu,Baik,2031-01-13,Masih Berlaku
Universitas Telkom,Desain Komunikasi Visual,S1,4,6298/SK/BAN-PT/Ak.KP/S/IV/2025,2025,info@telkomuniversity.ac.id,Unggul,2027-11-08,Masih Berlaku
Universitas Katolik Soegijapranata,Desain Komunikasi Visual,S1,6,6299/SK/BAN-PT/Ak.KP/S/IV/2025,2025,unika@unika.ac.id,Baik Sekali,2026-06-18,19 hari lagi kadaluarsa
Universitas Telkom,Desain Produk,S1,4,6343/SK/BAN-PT/Ak.KP/S/V/2025,2025,info@talkomuniversity.ac.id,Unggul,2028-03-28,Masih Berlaku
Universitas Informatika Dan Bisnis Indonesia,Desain Komunikasi Visual,S1,4,6407/SK/BAN-PT/Ak.Ppj/S/V/2025,2025,e_unibi@unibi.ac.id,B,2030-05-06,Masih Berlaku
Universitas Kristen Petra,Desain Interior,S1,7,6336/SK/BAN-PT/Ak.KP/S/V/2025,2025,kj-intrr@petra.ac.id,Unggul,2029-10-16,Masih Berlaku
Universitas Komputer Indonesia,Desain,S2,4,6514/SK/BAN-PT/Ak.KP/M/V/2025,2025,infopasca-mds@unikom.ac.id,Baik Sekali,2027-01-27,Masih Berlaku
Universitas Surabaya,Desain Produk,S1,7,6469/SK/BAN-PT/Ak.KP/S/V/2025,2025,fik@ubaya.ac,Unggul,2029-11-13,Masih Berlaku
Politeknik Kreatif Indonesia,Desain Mode,D-IV,3,6733/SK/BAN-PT/Ak/STr/VI/2025,2025,info@cpi.ac.id,Baik,2030-06-04,Masih Berlaku
Universitas Widyatama,Desain Grafis,D-IV,4,6825/SK/BAN-PT/PEPA-Ppj/STr/VI/2025,2025,fdkv@widyatama.ac.id,B,2030-06-14,Masih Berlaku
Universitas Wiraraja,Desain Komunikasi Visual,S1,7,6772/SK/BAN-PT/Ak.P/S/VI/2025,2026,humas@wiraraja.ac.id,Baik,2031-01-13,Masih Berlaku
Universitas PGRI Silampari,Desain Komunikasi Visual,S1,2,6801/SK/BAN-PT/Ak/S/VI/2025,2025,info@unpari.ac.id,Baik,2030-06-14,Masih Berlaku
Universitas Pembangunan Nasional Veteran Jawa Timur,Desain Interior,S1,PTN,6802/SK/BAN-PT/Ak/S/VI/2025,2025,humas@upnjatim.ac.id,Baik,2030-06-14,Masih Berlaku
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Medan),S1,3,2423/SK/BAN-PT/Ak.P/S1/V/2025,2025,citra.fadillah@binus.edu,Terakreditasi Sementara,2030-05-14,Masih Berlaku
Institut Seni Indonesia Denpasar,Desain,S2,PTN,6858/SK/BAN-PT/Ak/S2/VII/2025,2025,humas@isi-dps.ac.id,Unggul,2030-06-24,Masih Berlaku
Universitas Pelita Harapan,Desain Interior,S1,3,6920/SK/BAN-PT/Ak/S1/VII/2025,2025,info.medan@uph.edu,Unggul,2030-07-01,Masih Berlaku
Akademi Kesejahteraan Sosial AKK,Desain Busana,D-III,5,7000/SK/BAN-PT/Ak.Ppj/D3/VII/2025,2025,info@aks-akk.co.id,B,2030-07-12,Masih Berlaku
Universitas Dinamika,Desain Komunikasi Visual,S1,7,7052/SK/BAN-PT/Ak/S1/VII/2025,2025,official@dinamika.ac.id,Unggul,2030-07-29,Masih Berlaku
Universitas Ichsan Gorontalo,Desain Komunikasi Visual,S1,16,7086/SK/BAN-PT/Ak.S/S1/VII/2025,2026,info@unisan.ac.id,Baik,2031-01-13,Masih Berlaku
Institut Teknologi Bandung,Desain Interior,S1,PTN,7089/SK/BAN-PT/Ak.Ppj/S1/VII/2025,2025,fsrditb@yahoo.com,Unggul,2030-08-03,Masih Berlaku
Institut Bisnis Dan Teknologi Indonesia,Desain Komunikasi Visual,S1,8,7126/SK/BAN-PT/Ak/S1/VIII/2025,2025,humas@instiki.ac.id,Baik,2030-08-05,Masih Berlaku
Universitas Bhinneka Nusantara,Desain Komunikasi Visual,S1,7,7375/SK/BAN-PT/Ak-PNB/S/VIII/2025,2025,ubhinus@ubhinus.ac.id,Baik Sekali,2026-09-07,100 hari lagi kadaluarsa
Universitas Sahid Surakarta,Desain Interior,S1,6,7171/SK/BAN-PT/Ak.Ppj/S/VIII/2025,2025,desain.interior@usahidsolo.ac.id,B,2030-07-22,Masih Berlaku
Politeknik Seni Yogyakarta,Desain Komunikasi Visual,D-III,5,7120/SK/BAN-PT/Ak.P/D3/VIII/2025,2025,poliseniyogyakarta@gmail.com,Baik,2027-08-05,Masih Berlaku
Universitas Negeri Jakarta,Desain Mode,D-IV,PTN,7166/SK/BAN-PT/Ak.Ppj/STr/VIII/2025,2025,str_desainmode@unj.ac.id,A,2030-07-24,Masih Berlaku
Universitas Teknologi Digital,Desain Komunikasi Visual,S1,4,7129/SK/BAN-PT/Ak.P/S/VIII/2025,2026,info@utdi.ac.id,Baik,2031-02-24,Masih Berlaku
Universitas Trilogi,Desain Komunikasi Visual,S1,3,7107/SK/BAN-PT/Ak.S/S/VIII/2025,2025,info@universitas-trilogi.ac.id,Baik Sekali,2030-12-18,Masih Berlaku
Institut Seni Budaya Indonesia Aceh,Desain Komunikasi Visual,S1,PTN,7228/SK/BAN-PT/Ak.S/S/VIII/2025,2025,info@isbiaceh.ac.id,Baik,2031-06-02,Masih Berlaku
Universitas Sebelas Maret,Desain Mode,S1,PTN,7236/SK/BAN-PT/Ak-PNB/S/VIII/2025,2025,humas@mail.uns.ac.id,Unggul,2027-09-27,Masih Berlaku
Politeknik Tempo,Desain Media,D-IV,3,7415/SK/BAN-PT/Ak/STr/IX/2025,2025,admindm@politekniktempo.ac.id,Baik,2030-09-02,Masih Berlaku
Institut Informatika Indonesia Surabaya,Desain Produk,S1,7,7553/SK/BAN-PT/Ak-TMSP/S/IX/2025,2025,desain@ikado.ac.id,Tidak Terakreditasi,,Tidak Ada Data
Institut Teknologi Sains Bandung,Desain Produk,S1,4,7558/SK/BAN-PT/Ak/S/IX/2025,2025,office@itsb.ac-id.net,Baik Sekali,2030-09-10,Masih Berlaku
Institut Seni Budaya Indonesia Bandung,Desain Interior,S1,PTN,7159/SK/BAN-PT/Ak.P/S1/VIII/2025,2025,info@isbi.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Institut Komunikasi Dan Bisnis LSPR,Desain Media,D4,3,7128/SK/BAN-PT/Ak.P/D4/VIII/2025,2025,info@lspr.edu,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Universitas Kristen Petra,Desain,S2,7,7142/SK/BAN-PT/Ak.P/S2/VIII/2025,2025,info@petra.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Universitas Mulia,Desain Komunikasi Visual,S1,11,7151/SK/BAN-PT/Ak.P/S1/VIII/2025,2025,info@universitasmulia.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Institut Seni Indonesia Surakarta,Desain Produk Industri,S1,PTN,7173/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,info@isi-ska.ac.id,Terakreditasi Sementara,2030-09-09,Masih Berlaku
Universitas Fort De Kock,Desain Komunikasi Visual,S1,10,7182/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,informasi@fdk.ac.id,Terakreditasi Sementara,2030-09-09,Masih Berlaku
Institut Teknologi Adhi Tama Surabaya,Desain Produk,S1,7,7620/SK/BAN-PT/PEPA-Ppj/S/IX/2025,2025,despro.dept@itats.ac.id,Baik,2030-09-16,Masih Berlaku
Institut Informatika Dan Bisnis Darmajaya,Desain Komunikasi Visual,S1,2,7601/SK/BAN-PT/Ak/S/IX/2025,2025,dkv@darmajaya.ac.id,Baik,2030-09-16,Masih Berlaku
